"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"77","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:05:57,FALSE,NA,"1171031987676516357",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","42Alien84",57,TRUE,FALSE,NA,NA
"78","@kiwimemer Hnnng bite sized nezha",FALSE,0,"kiwimemer",2019-09-09 12:05:49,FALSE,"1170968949854371840","1171031957100277760","3189553508","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","milli_nior",0,FALSE,FALSE,NA,NA
"79","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:05:47,FALSE,NA,"1171031948548104193",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nararouge",166,TRUE,FALSE,NA,NA
"80","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:05:27,FALSE,NA,"1171031862954926081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","milli_nior",57,TRUE,FALSE,NA,NA
"81","@comomula the four way fight was so good.... tell me where in disn*y would you have that shit w that fluidity and c… https://t.co/pmuhHU5c8E",FALSE,0,"comomula",2019-09-09 12:04:53,TRUE,"1171031438298365952","1171031720503566338","3331964601","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wenbuxing",0,FALSE,FALSE,NA,NA
"82","RT @pinkcolorpen: a couple more! 'w' 

this time shuttlecock (may or may not be inspired by that one nezha movie that i haven't seen), and…",FALSE,0,NA,2019-09-09 12:04:23,FALSE,NA,"1171031596020879362",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mikanade_",33,TRUE,FALSE,NA,NA
"83","Nezha dad is hot",FALSE,1,NA,2019-09-09 12:04:08,FALSE,NA,"1171031529742430208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oscardragonia",0,FALSE,FALSE,NA,NA
"84","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:03:58,FALSE,NA,"1171031488193675264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DaNi_13o",57,TRUE,FALSE,NA,NA
"85","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:03:55,FALSE,NA,"1171031478672789507",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tofucoups",166,TRUE,FALSE,NA,NA
"86","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:03:52,FALSE,NA,"1171031464722329600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NightmareAnglef",57,TRUE,FALSE,NA,NA
"87","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:03:27,FALSE,NA,"1171031359256555525",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_HS__03",57,TRUE,FALSE,NA,NA
"88","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:03:18,FALSE,NA,"1171031322162155520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","meltsmelts",57,TRUE,FALSE,NA,NA
"89","RT @erisa_ee: #Nezha #Aobing #<U+54EA><U+5412> #<U+6556><U+4E19> <U+5B98><U+65B9>Q<U+7248>,<U+592A><U+0001F251><U+FE0F><U+0001F251><U+FE0F><U+0001F251><U+FE0F><U+4E86>!!! https://t.co/CRjiEppa2Z",FALSE,0,NA,2019-09-09 12:02:50,FALSE,NA,"1171031205782773762",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YongYi_10125",19,TRUE,FALSE,NA,NA
"90","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:02:26,FALSE,NA,"1171031102871482368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bunphos",166,TRUE,FALSE,NA,NA
"91","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:01:51,FALSE,NA,"1171030955668193280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sadlutz",166,TRUE,FALSE,NA,NA
"92","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:01:45,FALSE,NA,"1171030933836718086",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Avennci",166,TRUE,FALSE,NA,NA
"93","RT @Chimfucius: Posting some Nezha and Aobing doodles here too <U+0001F440><U+0001F525><U+2744><U+FE0F> it was a good movie and I highly encourage people to go watch if they c…",FALSE,0,NA,2019-09-09 12:01:23,FALSE,NA,"1171030838110228481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Arr_Oz",268,TRUE,FALSE,NA,NA
"94","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:01:05,FALSE,NA,"1171030763917254656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kiraferrett",166,TRUE,FALSE,NA,NA
"95","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:00:53,FALSE,NA,"1171030715531579392",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","hiIarions",166,TRUE,FALSE,NA,NA
"96","RT @k0urud0: he’s a keeper.
#nezha #<U+54EA><U+5412><U+4E4B><U+9B54><U+7AE5><U+964D><U+4E16> https://t.co/tusJrehaqb",FALSE,0,NA,2019-09-09 12:00:43,FALSE,NA,"1171030670757511169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Arr_Oz",578,TRUE,FALSE,NA,NA
"97","RT @cineasia_online: La animación de China vuelve a conseguir un excelente resultado en su taquilla justo después del triunfo de  ""Nezha"".…",FALSE,0,NA,2019-09-09 12:00:34,FALSE,NA,"1171030633495351298",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kawanokatsuhito",7,TRUE,FALSE,NA,NA
"98","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:00:15,FALSE,NA,"1171030554181083137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jiaoren_",166,TRUE,FALSE,NA,NA
"99","RT @korokoro8080: would anyone be interested in oubing manjuus LOL i just really want to make a pair for myself....
#nezha https://t.co/t51…",FALSE,0,NA,2019-09-09 12:00:01,FALSE,NA,"1171030497226416135",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kazukopii",19,TRUE,FALSE,NA,NA
"100","i bought nezha empyrean skin i am the happiest nezha degenerate ever",FALSE,0,NA,2019-09-09 11:59:27,FALSE,NA,"1171030351403257857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","psychoikawa",0,FALSE,FALSE,NA,NA
