TIME,OWNED,SEX,EDLVL,AGE,Playfulness,ValueUtility,FeelDeviceDependence,ATUseSophistication,FeelTimeManagingDevice,UseSelfEfficacy,NonPlayfulness,ValueHedonistic,VU,VH
60,7,1,4,30,-1.244492471,-0.255818334,0.544013199,0.2575578424,-0.897056085,-0.725128347,-0.253667302,0.4750778842,0,1
60,5,2,5,35,-0.266938435,1.399571873,-0.394707628,0.3767444401,0.0108314992,0.9896810655,0.2586865818,-0.011558149,1,
60,8,2,6,37,-0.576061655,1.8322607194,-0.246590696,-0.906272211,-1.745466929,0.365624606,0.4817770622,-0.266564343,1,0
120,6,1,5,48,-0.182180558,1.1746931964,-0.074340876,0.7996972003,-0.985100933,1.1156075229,0.2574588242,0.6665456247,1,1
120,96,1,5,26,1.582179459,-0.071677962,-0.69008511,1.5960011739,-0.630127286,1.3780275107,-0.990619584,-1.009558773,,0
60,84,1,6,26,0.9621588116,-1.088085035,-0.928618929,-0.339897132,1.7241322665,-0.853546379,-1.084242041,0.5215254828,0,1
30,48,1,6,26,-0.473684246,0.0620627817,-0.375394831,0.3238224603,1.2719443574,-0.38147545,-0.359692186,-0.26493952,,0
160,24,1,5,27,-0.447553863,1.3217553394,-1.852520041,0.0461052646,-0.430483383,0.1189081984,0.2500495769,0.3161317912,1,1
65,74,2,5,61,0.2775390874,-0.009988346,-0.403474657,0.7645891273,0.079599771,2.7897744359,-0.905242961,0.75869133,,1
120,6,1,6,56,0.7420563208,-0.875603962,-0.153476882,-0.467569044,-0.82845388,2.5361617879,-0.145299018,1.1809944154,0,1
0,144,2,5,37,-0.380130079,-0.922919086,-0.188869602,-0.834432616,-0.68633688,0.3472614182,0.4860501259,0.1271452326,0,
240,72,2,5,27,-0.469512812,-0.546178121,-1.223227949,0.4448419545,-0.590953204,-0.650110919,0.8002738617,-0.365184278,0,0
75,54,2,5,26,0.3955838535,-0.659436321,-1.102779071,-1.507730484,0.1259037002,-0.070331742,-0.740868916,1.3272389239,0,1
90,30,2,5,25,2.6450860935,-0.227412876,-1.348099298,0.7240251824,0.1573272738,-0.450435754,1.5388877005,0.2086494334,,
120,48,1,5,23,0.307969852,-0.908499162,-0.93043294,0.9698567627,-0.599092389,-0.031543213,0.1943154345,-0.930282626,0,0
25,102,2,4,36,-1.006015109,-1.012449829,1.89856278,-1.552810363,0.9945509899,1.2686321344,-0.142940171,-0.793542912,0,0
10,36,2,5,31,-1.057827619,-0.709358063,0.5551856658,-0.395289728,0.0633283902,-0.000466337,-0.686524341,-0.735639089,0,0
2,49,1,6,31,1.025822517,0.4895356855,2.0333314169,0.0642873424,1.0680503404,1.5885104479,-1.010476589,-0.391712422,1,0
3,8,2,5,35,0.2223433521,-0.398687769,2.0329568247,1.6171486369,0.0164054311,-0.541317184,-0.061220056,0.7862842442,0,1
120,60,1,5,23,-0.91855714,0.6253966458,-0.169606005,-0.951879307,0.9648325465,-0.173675979,1.0005941883,-0.509543499,1,0
45,53,2,6,29,1.832558477,1.3567371633,-0.285620755,0.3536808901,-0.433439011,-1.243580311,-1.197185631,0.6224097878,1,1
30,108,2,6,24,-0.142967807,-0.370373023,-0.024992582,-0.02542675,0.5020707403,-0.144471781,-0.366606531,-0.810793115,0,0
20,96,1,0,38,-0.584244832,0.1734741718,-0.102475198,0.2366912687,-0.019427622,0.5483124641,-0.988551262,-0.530118031,,0
20,96,1,5,24,0.7317181815,-0.502138316,-0.729251715,-1.038503302,0.9232634256,-0.619260048,-0.422022068,-0.547901402,0,0
15,120,1,0,42,2.7004812506,-0.759023421,-1.641037594,1.7551187627,-2.840886429,-0.616380232,-1.513090757,1.6949619467,0,1
180,39,1,5,24,1.264743989,-0.464708965,-1.166243668,0.4239870473,1.4276222126,-0.394028599,0.525324762,-0.744365866,0,0
150,60,2,5,26,1.395443758,0.1688025625,-1.058197906,1.1396914303,1.0583620063,-1.098902469,-0.491637307,-1.07763096,,0
30,126,2,6,35,0.5444491967,-0.069018084,2.6724290042,0.5914270251,0.276107795,-0.442924806,0.696321213,-0.514765169,,0
60,60,1,5,38,-0.227817268,1.0787166709,1.4463449491,0.5369098768,-0.500609435,-0.198824008,-0.488594361,-0.618564285,1,0
30,36,1,2,50,0.8927365267,-1.576086571,2.1479084166,-0.120981291,-3.232004992,-0.08795228,-0.716387479,0.9608476918,0,1
30,48,2,5,30,0.5157433633,1.3475148564,0.4029945919,-2.315142698,-0.306407585,1.2821220237,-0.238193477,1.2205114896,1,1
90,24,1,5,28,0.0353581394,-0.724908387,2.0736346302,1.3566569172,-1.572604179,1.2372487566,-0.695197095,0.1560158861,0,
60,48,1,5,31,1.0188033644,1.2283124461,1.2890590476,0.5865661778,-1.366894831,-0.060228676,0.6328631183,1.0070144626,1,1
210,120,2,5,31,0.7308730058,1.0985153263,-0.521112579,-1.039600473,-1.725999576,2.4295345868,-0.565463247,-0.195687931,1,
60,36,2,5,31,-0.605275159,-0.36935106,-0.295958897,-1.267895208,-2.270582617,0.5208939692,-2.444249745,-0.563991055,0,0
60,24,1,6,28,-0.877457001,1.1883549685,-0.452091596,-0.895254385,-2.226368763,1.595490586,-1.740813292,0.7975905167,1,1
30,48,1,6,26,-0.15164969,1.0171538737,0.3405069216,-0.562526305,-0.08339976,0.1087290034,-1.464420449,0.4911983294,1,1
30,11,2,6,39,2.4787389267,-1.326374155,0.7536864165,-0.012012363,-0.751686811,-1.436761631,-0.940883208,-1.010218136,0,0
180,36,1,6,36,1.3023369786,0.7864324377,-0.214695448,-0.23593171,-1.507516991,-0.427880098,0.7858617826,1.0147034829,1,1
180,62,1,6,42,-0.071013742,-0.897777092,-0.15487868,0.8563919851,0.982965469,0.4414315998,-1.038232464,-0.676231086,0,0
90,36,1,6,38,-0.169921556,-0.955497171,0.0472803588,-0.833190682,0.7807592383,-0.143263374,-0.407629068,0.0994567713,0,
30,60,1,6,39,-0.56328501,0.322248415,0.4968001873,-0.773101472,0.7808988148,-0.100456216,-0.296525932,-0.346509309,1,0
