"Country" "Country_Code" "Indicator" "Indicator_Code" "Time" "Value" "Classification"
"113" "Australia" "AUS" "Current account balance (% of GDP)" "BN.CAB.XOKA.GD.ZS" "1984" NA 1
"114" "Australia" "AUS" "Net capital account (BoP, current US$)" "BN.TRF.KOGT.CD" "1984" NA 1
"115" "Australia" "AUS" "Net financial account (BoP, current US$)" "BN.FIN.TOTL.CD" "1984" NA 1
"116" "Australia" "AUS" "Consumer price index (2010=100, December)" "GFDD.OE.01" "1985" 43.1 1
"117" "Australia" "AUS" "Stock market total value traded to GDP (%)" "GFDD.DM.02" "1985" 6.61 1
"118" "Australia" "AUS" "Stock market turnover ratio (%)" "GFDD.EM.01" "1985" 29.86 1
"119" "Australia" "AUS" "Stock price volatility" "GFDD.SM.01" "1985" 12.03 1
"120" "Australia" "AUS" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" "1985" 5.249350487 1
"121" "Australia" "AUS" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" "1985" 11452.65689 1
"122" "Australia" "AUS" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" "1985" 3.820021828 1
"123" "Australia" "AUS" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" "1985" 37.78675729 1
"124" "Australia" "AUS" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" "1985" NA 1
"125" "Australia" "AUS" "GDP (current US$)" "NY.GDP.MKTP.CD" "1985" 1.80471e+11 1
"126" "Australia" "AUS" "Real interest rate (%)" "FR.INR.RINR" "1985" 7.449047225 1
"127" "Australia" "AUS" "Lending interest rate (%)" "FR.INR.LEND" "1985" 12.41666667 1
"128" "Australia" "AUS" "Inflation, consumer prices (annual %)" "FP.CPI.TOTL.ZG" "1985" 6.739049045 1
"129" "Australia" "AUS" "Inflation, GDP deflator (annual %)" "NY.GDP.DEFL.KD.ZG" "1985" 4.623232658 1
"130" "Australia" "AUS" "Consumer price index (2010 = 100)" "FP.CPI.TOTL" "1985" 40.825023 1
"131" "Australia" "AUS" "Interest rate spread (lending rate minus deposit rate, %)" "FR.INR.LNDP" "1985" -2.052734375 1
"132" "Australia" "AUS" "Market capitalization of listed domestic companies (current US$)" "CM.MKT.LCAP.CD" "1985" 59400110000 1
"133" "Australia" "AUS" "Market capitalization of listed domestic companies (% of GDP)" "CM.MKT.LCAP.GD.ZS" "1985" 32.91394228 1
"134" "Australia" "AUS" "Portfolio equity, net inflows (BoP, current US$)" "BX.PEF.TOTL.CD.WD" "1985" 963869484.7 1
"135" "Australia" "AUS" "Portfolio investment, net (BoP, current US$)" "BN.KLT.PTXL.CD" "1985" NA 1
"136" "Australia" "AUS" "Current account balance (% of GDP)" "BN.CAB.XOKA.GD.ZS" "1985" NA 1
"137" "Australia" "AUS" "Net capital account (BoP, current US$)" "BN.TRF.KOGT.CD" "1985" NA 1
"138" "Australia" "AUS" "Net financial account (BoP, current US$)" "BN.FIN.TOTL.CD" "1985" NA 1
"139" "Australia" "AUS" "Consumer price index (2010=100, December)" "GFDD.OE.01" "1986" 47.17 1
"140" "Australia" "AUS" "Stock market total value traded to GDP (%)" "GFDD.DM.02" "1986" 10.05 1
"141" "Australia" "AUS" "Stock market turnover ratio (%)" "GFDD.EM.01" "1986" 26.28 1
"142" "Australia" "AUS" "Stock price volatility" "GFDD.SM.01" "1986" 11.73 1
"143" "Australia" "AUS" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" "1986" 4.100203645 1
"144" "Australia" "AUS" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" "1986" 11379.52337 1
"145" "Australia" "AUS" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" "1986" 2.407918958 1
"146" "Australia" "AUS" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" "1986" 40.20321453 1
"147" "Australia" "AUS" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" "1986" NA 1
"148" "Australia" "AUS" "GDP (current US$)" "NY.GDP.MKTP.CD" "1986" 1.82282e+11 1
"149" "Australia" "AUS" "Real interest rate (%)" "FR.INR.RINR" "1986" 8.087801914 1
"150" "Australia" "AUS" "Lending interest rate (%)" "FR.INR.LEND" "1986" 15 1
"151" "Australia" "AUS" "Inflation, consumer prices (annual %)" "FP.CPI.TOTL.ZG" "1986" 9.084531744 1
"152" "Australia" "AUS" "Inflation, GDP deflator (annual %)" "NY.GDP.DEFL.KD.ZG" "1986" 6.394984415 1
"153" "Australia" "AUS" "Consumer price index (2010 = 100)" "FP.CPI.TOTL" "1986" 44.53378517 1
"154" "Australia" "AUS" "Interest rate spread (lending rate minus deposit rate, %)" "FR.INR.LNDP" "1986" -1.749275362 1
"155" "Australia" "AUS" "Market capitalization of listed domestic companies (current US$)" "CM.MKT.LCAP.CD" "1986" 1.193e+11 1
"156" "Australia" "AUS" "Market capitalization of listed domestic companies (% of GDP)" "CM.MKT.LCAP.GD.ZS" "1986" 65.4481073 1
"157" "Australia" "AUS" "Portfolio equity, net inflows (BoP, current US$)" "BX.PEF.TOTL.CD.WD" "1986" 1013938361 1
"158" "Australia" "AUS" "Portfolio investment, net (BoP, current US$)" "BN.KLT.PTXL.CD" "1986" NA 1
"159" "Australia" "AUS" "Current account balance (% of GDP)" "BN.CAB.XOKA.GD.ZS" "1986" NA 1
"160" "Australia" "AUS" "Net capital account (BoP, current US$)" "BN.TRF.KOGT.CD" "1986" NA 1
"161" "Australia" "AUS" "Net financial account (BoP, current US$)" "BN.FIN.TOTL.CD" "1986" NA 1
"162" "Australia" "AUS" "Consumer price index (2010=100, December)" "GFDD.OE.01" "1987" 50.4 1
"163" "Australia" "AUS" "Stock market total value traded to GDP (%)" "GFDD.DM.02" "1987" 20.72 1
"164" "Australia" "AUS" "Stock market turnover ratio (%)" "GFDD.EM.01" "1987" 42.92 1
"165" "Australia" "AUS" "Stock price volatility" "GFDD.SM.01" "1987" 17.1 1
"166" "Australia" "AUS" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" "1987" 2.578442474 1
"167" "Australia" "AUS" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" "1987" 11643.94718 1
"168" "Australia" "AUS" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" "1987" 1.030043405 1
"169" "Australia" "AUS" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" "1987" 43.04213447 1
"170" "Australia" "AUS" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" "1987" NA 1
"171" "Australia" "AUS" "GDP (current US$)" "NY.GDP.MKTP.CD" "1987" 1.89376e+11 1
"172" "Australia" "AUS" "Real interest rate (%)" "FR.INR.RINR" "1987" 7.492808976 1
"173" "Australia" "AUS" "Lending interest rate (%)" "FR.INR.LEND" "1987" 15.08333333 1
"174" "Australia" "AUS" "Inflation, consumer prices (annual %)" "FP.CPI.TOTL.ZG" "1987" 8.488745981 1
