"Country" "Democracy" "ID" "Decade" "Risk" "Time"
"Botswana" 0 83 "Y1" 0.0078272 1
"Botswana" 0 83 "Y2" 0.0035253 2
"Botswana" 0 83 "Y3" 0.0030645 3
"Botswana" 0 83 "Y4" 0.0024344 4
"Botswana" 0 83 "Y5" 0.0013222 5
"Swaziland" 0 84 "Y1" 0.0090018 1
"Swaziland" 0 84 "Y2" 0.0100378 2
"Swaziland" 0 84 "Y3" 0.0042801 3
"Swaziland" 0 84 "Y4" 0.0039826 4
"Swaziland" 0 84 "Y5" 0.0022795 5
"Madagascar" 0 85 "Y1" 0.0114135 1
"Madagascar" 0 85 "Y2" 0.0070345 2
"Madagascar" 0 85 "Y3" 0.0180241 3
"Madagascar" 0 85 "Y4" 0.0083158 4
"Madagascar" 0 85 "Y5" 0.0159787 5
"Mauritius" 1 86 "Y1" 0.0055545 1
"Mauritius" 1 86 "Y2" 0.0049938 2
"Mauritius" 1 86 "Y3" 0.0031667 3
"Mauritius" 1 86 "Y4" 0.0020321 4
"Mauritius" 1 86 "Y5" 0.0014057 5
"Seychelles" 0 87 "Y1" 0.0131832 1
"Seychelles" 0 87 "Y2" 0.0039832 2
"Seychelles" 0 87 "Y3" 0.0037984 3
"Seychelles" 0 87 "Y4" 0.0022356 4
"Seychelles" 0 87 "Y5" 0.0011104 5
"Morocco" 0 88 "Y1" 0.0064334 1
"Morocco" 0 88 "Y2" 0.0106525 2
"Morocco" 0 88 "Y3" 0.0040518 3
"Morocco" 0 88 "Y4" 0.0020712 4
"Morocco" 0 88 "Y5" 0.0035163 5
"Algeria" 0 89 "Y1" 0.0203455 1
"Algeria" 0 89 "Y2" 0.009307 2
"Algeria" 0 89 "Y3" 0.0300465 3
"Algeria" 0 89 "Y4" 0.0052596 4
"Algeria" 0 89 "Y5" 0.0027837 5
"Tunisia" 0 90 "Y1" 0.001864 1
"Tunisia" 0 90 "Y2" 0.0067305 2
"Tunisia" 0 90 "Y3" 0.0042958 3
