Date Event Began,Date of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW), Number of Customers Affected 
12/23/2013,12/25/2013,Central Maine Maine,NPCC,Severe Weather - Ice/Snow,Unknown,"52,500"
1/6/2014,1/6/2014,Pennsylvania,RFC,Voltage Reduction due to Severe Weather - Cold,200,"62,000"
1/7/2014,1/7/2014,South Carolina,SERC,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,"4,853","677,858"
1/8/2014,1/8/2014,South Carolina,SERC,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,"4,545","677,858"
2/5/2014,2/5/2014,Pennsylvania,RFC,Severe Weather - Snow/Ice,Unknown,"715,000"
2/5/2014,2/5/2014,"Baltimore, Maryland",RFC,Severe Weather - Ice,800,"181,000"
2/5/2014,2/9/2014,Pennsylvania,RFC,Severe Weather - Snow/Ice,Unknown,"144,000"
2/5/2014,2/9/2014,"Maryland, West Virginia",RFC,Severe Weather - Snow/Ice,Unknown,"101,580"
2/5/2014,2/7/2014,"Lancaster Region, Pennsylvania",RFC,Severe Weather - Snow/Ice,Unknown,"62,159"
2/12/2014,2/15/2014,Northern/Northeastern Georgia,SERC,Severe Weather - Snow/Ice,"1,246","373,835"
2/12/2014,2/15/2014,North Carolina,SERC,Severe Weather - Snow/Ice,Unknown,"200,000"
2/12/2014,2/15/2014,South Carolina,SERC,Severe Weather - Snow/Ice,700,"120,124"
2/20/2014,2/21/2014,"Missouri, Illinois",SERC,Severe Weather - Snow/Ice,Unknown,"66,000"
2/21/2014,2/21/2014,Northern/Northeastern Georgia,SERC,Severe Weather - Thunderstorms/High Winds,221,"66,445"
3/3/2014,3/3/2014,Tennessee,SERC,Severe Weather - Winter Storm,Unknown,"65,904"
3/7/2014,3/7/2014,"Triad, North Carolina",SERC,Severe Weather - Winter Storm,1500,"370,900"
3/12/2014,3/13/2014,North Carolina,SERC,Severe Weather - High Winds,250,"61,377"
4/4/2014,4/4/2014,Central Arkansas,SERC,Severe Weather - Wind,Unknown,"57,200"
4/12/2014,4/15/2014,Michigan,RFC,Severe Weather,Unknown,"164,000"
4/12/2014,4/14/2014,Western and Central Michigan,RFC,Severe Weather - Thunderstorms,Unknown,"50,000"
4/23/2014,4/23/2014,"Baton Rouge, Louisiana",SERC,Load shedding of 100 Megawatts,163,"28,000"
4/29/2014,4/29/2014,"Mississippi, Alabama",SERC,Severe Weather - Thunderstorms,355,"106,648"
4/29/2014,5/1/2014,"Northeastern Mississippi, Northern Alabama",SERC,Severe Weather - Thunderstorms,Unknown,"57,000"
4/30/2014,4/30/2014,"Alabama, Florida, Georgia",SERC,Severe Weather - Thunderstorms,296,"89,000"
5/9/2014,5/11/2014,Indiana,RFC,Severe Weather - Heavy Winds,Unknown,"56,000"
5/16/2014,5/16/2014,"San Diego & Orange Counties, California",WECC,Public Appeal to Reduce Electricity Usage - Wild Fires,"3,900","1,400,000"
6/5/2014,6/5/2014,West Tennessee,SERC,Severe Weather - Thunderstorms,Unknown,"56,475"
6/5/2014,6/7/2014,"Shelby County, Tennessee",SERC,Severe Weather - Thunderstorms,494,"38,500"
6/7/2014,6/8/2014,"North and Central , Alabama",SERC,Severe Weather - Thunderstorms,217,"65,000"
6/10/2014,6/11/2014,West Virginia,RFC,Severe Weather - Thunderstorms,Unknown,"66,383"
6/15/2014,6/15/2014,Central Minnesota,MRO,Severe Weather - Thunderstorms,Unknown,"55,951"
6/18/2014,6/20/2014,Southeast Michigan,RFC,Severe Weather - Thunderstorms,Unknown,"138,802"
6/30/2014,7/2/2014,Illinois,RFC,Severe Weather - Thunderstorms,Unknown,"420,000"
6/30/2014,7/1/2014,North Central Indiana,RFC,Severe Weather - Thunderstorms,Unknown,"127,000"
6/30/2014,7/1/2014,Southeast  Wisconsin,MRO,Severe Weather - Thunderstorms,424,"120,000"
2/16/2015,2/18/2015,"Northern/North Eastern, Georgia",SERC,Severe Weather - Winter,620,"186,035"
2/16/2015,2/18/2015,"Tennessee, Kentucky, Virginia, North Carolina, Georgia, Alabama, Missouri",SERC,Severe Weather - Winter,Unknown,"67,189"
2/17/2015,2/18/2015,"North Carolina, South Carolina",SERC,Severe Weather - Winter,Unknown,"68,000"
2/17/2015,2/18/2015,"North Carolina, South Carolina",SERC,Severe Weather - Winter,Unknown,"52,000"
2/21/2015,2/21/2015,"Fentress County, Tennessee",SERC,Severe Weather - Winter,Unknown,"50,000"
2/26/2015,2/26/2015,"North Carolina, South Carolina",SERC,Severe Weather - Winter,Unknown,"124,000"
2/26/2015,2/27/2015,North Carolina ,SERC,Severe Weather - Winter,400,"103,776"
3/15/2015,3/15/2015,"Greater Portland & Salem , Oregon",WECC,Severe Weather - Wind,210,"71,000"
3/16/2015,3/16/2015,"Winona , Minnesota",MRO,Sabotage,20,"5,941"
4/1/2015,4/1/2015,"San Juan County, Utah",WECC,Vandalism,Unknown,37
4/2/2015,4/2/2015,"San Juan County, Utah",WECC,Vandalism,6,"5,763"
4/3/2015,4/3/2015,"Harvey, Reno, and Sedgwick Counties, Kansas",SPP,Severe Weather - Thunderstorms,Unknown,"70,000"
4/6/2015,4/6/2015,"Butte County, California",WECC,System Operations,Unknown,"80,000"
4/17/2015,4/19/2015,"Houston, Texas",TRE,Severe Weather,Unknown,"280,982"
4/18/2015,4/21/2015,"Dallas, Fort Worth, Texas",TRE,Severe Weather,Unknown,"89,000"
4/24/2015,4/26/2015,"Dallas, Fort Worth, Texas",TRE,Severe Weather,Unknown,"57,000"
4/27/2015,4/28/2015,Louisiana and Texas,SERC,Severe Weather,Unknown,"199,000"
5/2/2015,5/3/2015,"Franklin County, Tennessee",SERC,Vandalism,1,215
5/25/2015,5/29/2015,North Texas,TRE,Severe Weather,Unknown,"454,000"
5/25/2015,5/28/2015,"Fort Bend County, & Harris County ,Texas",TRE,Severe Weather,Unknown,"61,000"
5/25/2015,5/26/2015,Texas,SPP,Severe Weather,Unknown,"57,531"
5/26/2015,5/27/2015,"Texas, Louisiana, Arkansas, Mississippi",SERC,Severe Weather,Unknown,"78,515"
6/1/2015,6/2/2015,California,WECC,System Operations,5,484
6/1/2015,6/1/2015,"Daviess County, Kentucky",SERC,Vandalism,2,110
6/2/2015,6/2/2015,California,WECC,System Operations,5,727
6/23/2015,6/30/2015,"Gloucester County, Burlington County, Atlantic County, Cape May County, New Jersey",RFC,Severe Weather,Unknown,"263,000"
6/23/2015,6/23/2015,"Delaware County, PA; Chester County, PA",RFC,Severe Weather,Unknown,"200,000"
6/23/2015,6/23/2015,New Jersey,RFC,System Operations,198,"156,338"
6/23/2015,6/26/2015,"New Castle County, Delaware",RFC,Severe Weather,Unknown,"65,000"
6/23/2015,6/24/2015,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",NPCC,Severe Weather,Unknown,"62,442"
6/27/2015,6/30/2015,"Wayne County, Michigan",RFC,Severe Weather,Unknown,"68,000"
7/3/2015,7/3/2015,Texas,TRE,System Operations,350,"30,000"
7/13/2015,7/16/2015,"Ohio, Kentucky",RFC,Severe Weather,480,"68,339"
7/13/2015,7/15/2015,Virginia,RFC,Severe Weather,Unknown,"52,739"
7/14/2015,7/15/2015,Alabama,SERC,Severe Weather,366,"111,644"
7/16/2015,7/16/2015,Texas,SPP,System Operations,117,"17,311"
7/18/2015,7/19/2015,"Henepin and Ramsey County, Minnesota",MRO,Severe Weather,250,"250,000"
7/18/2015,7/18/2015,California,WECC,Severe Weather,160,"78,164"
7/18/2015,7/18/2015,California,WECC,System Operations,30,70
7/27/2015,7/27/2015,California,WECC,System Operations,Unknown,484
8/3/2015,8/3/2015,Illinois,RFC,Severe Weather,Unknown,"115,000"
8/3/2015,8/5/2015,Michigan,RFC,Severe Weather,Unknown,"72,520"
8/4/2015,8/5/2015,Massachusetts: Rhode Island:,NPCC,Severe Weather,Unknown,"132,000"
8/11/2015,8/13/2015,Texas: Houston;,TRE,Severe Weather,Unknown,"100,000"
8/29/2015,8/31/2015,Washington: King County;,WECC,Severe Weather,"1,200","64,000"
9/3/2015,9/3/2015,Michigan,RFC,Severe Weather,Unknown,"50,114"
10/18/2015,10/18/2015,California: Central Coast area;,WECC,Severe Weather,88,"55,677"
10/23/2015,10/23/2015,Puerto Rico,N/A,System Operations,500,"300,000"
10/28/2015,10/29/2015,Pennsylvania: Columbia County; Montour County; Northumberland County;,RFC,Other,Unknown,"35,000"
10/31/2015,11/1/2015,Texas: Harris County;,TRE,Severe Weather,Unknown,"130,252"
11/21/2015,11/23/2015,Michigan,RFC,Severe Weather,Unknown,"60,000"
11/28/2015,11/30/2015,Oklahoma,SPP,Severe Weather,Unknown,"55,609"
11/30/2015,11/30/2015,Puerto Rico,N/A,System Operations,100,"86,559"
12/5/2015,12/6/2015,"New York: Orange County, Sullivan County; Pennsylvania: Pike County;",NPCC,Other,110,"52,476"
12/9/2015,12/9/2015,Washington,WECC,Severe Weather,115,"76,300"
12/10/2015,12/10/2015,California: Plumas County,WECC,Severe Weather,24,"9,956"
12/10/2015,12/10/2015,California: Northern;,WECC,Severe Weather,29,"9,956"
12/10/2015,12/10/2015,Missouri: New Madrid County;,SERC,System Operations,400,1
12/26/2015,12/30/2015,Texas: Oklahoma:,SPP,Severe Weather,Unknown,"116,800"
12/27/2015,12/28/2015,Oklahoma,SPP,Severe Weather,Unknown,"54,476"
12/31/2015,12/31/2015,Oklahoma: Blaine County;,SPP,Severe Weather,8,"1,500"
1/10/2016,1/11/2016,Maine: Connecticut: Massachusetts: Vermont: New Hampshire: Rhode Island:,NPCC,Weather,Unknown,"59,859"
1/22/2016,1/24/2016,North Carolina: South Carolina:,SERC,Weather,Unknown,"150,000"
1/23/2016,1/23/2016,New Jersey:,RFC,Weather,Unknown,"50,900"
2/5/2016,2/6/2016,Connecticut: Massachusetts: Rhode Island:,NPCC,Weather,Unknown,"115,057"
2/13/2016,2/13/2016,California,SERC,Islanding,7,"4,300"
2/16/2016,2/16/2016,Virginia,RFC,Weather,Unknown,"52,640"
2/19/2016,2/20/2016,Michigan,RFC,Weather,Unknown,"145,314"
2/24/2016,2/25/2016,North Carolina: South Carolina,SERC,Weather,400,"284,610"
2/25/2016,2/25/2016,Connecticut: Maine: Massachusetts: Rhode Island: Vermont:,NPCC,Weather,Unknown,"114,190"
2/26/2016,2/26/2016,Arizona: Maricopa County,WECC,Sabotage - Operator Action(s),2,"2,713"
3/27/2016,3/27/2016,Nevada: Clark County;,WECC,Sabotage,Unknown,"110,000"
3/30/2016,3/31/2016,Massachusetts: Middlesex County[13];,NPCC,Sabotage,200,"50,500"
4/18/2016,4/20/2016,Texas: Harris County,TRE,Weather,Unknown,"415,103"
4/27/2016,4/28/2016,Texas: Harris County,TRE,Weather,Unknown,"214,864"
5/10/2016,5/13/2016,"Texas: Dallas County, Tarrant County, Parker County;",TRE,Distribution Interruption,Unknown,"85,000"
5/19/2016,5/20/2016,Utah:,WECC,System Operations,461,"85,179"
5/20/2016,5/22/2016,Louisiana:,SERC,Distribution Interruption ,Unknown,"85,000"
5/26/2016,5/27/2016,New York:,NPCC,Transmission Interruption,82,"56,645"
6/17/2016,6/18/2016,"Georgia, Alabama, Mississippi, Florida",SERC,Weather,304,"91,260"
7/5/2016,7/6/2016,"Minnesota, Wisconsin",MRO,Severe Weather,Unknown,"250,000"
7/5/2016,7/6/2016,"Texas: Dallas County, Tarrant County",TRE,Severe Weather,Unknown,"52,000"
7/7/2016,7/7/2016,Kansas,SERC,Severe Weather,Unknown,"58,500"
7/8/2016,7/9/2016,North Carolina,SERC,Severe Weather,600,"203,345"
7/8/2016,7/9/2016,Michigan,RFC,Severe Weather,Unknown,"160,895"
7/9/2016,7/11/2016,Texas: Dallas County,TRE,Severe Weather,Unknown,"62,000"
7/12/2016,7/12/2016,Puerto Rico,PR,System Operations,450,"218,000"
7/14/2016,7/16/2016,Arkansas: Louisiana: Mississippi: Texas,"SPP, SERC, TRE",Severe Weather,Unknown,"170,244"
7/14/2016,7/15/2016,Oklahoma,SPP,Severe Weather,Unknown,"96,966"
7/14/2016,7/16/2016,Oklahoma: Arkansas,SPP,Severe Weather,Unknown,"7,300"
7/21/2016,7/22/2016,Puerto Rico,PR,System Operations,200,"266,000"
7/22/2016,7/23/2016,Massachusetts: Connecticut: Rhode Island: New Hampshire: Vermont: Maine,NPCC,Severe Weather,Unknown,"57,058"
7/23/2016,7/24/2016,Connecticut: Massachusetts: New Hampshire: Vermont: Rhode Island,NPCC,Severe Weather,Unknown,"101,073"
7/26/2016,7/27/2016,Puerto Rico,PR,System Operations,25,"37,100"
7/27/2016,7/28/2016,Puerto Rico,PR,System Operations,80,"106,300"
7/28/2016,7/29/2016,Puerto Rico,PR,System Operations,22,"21,600"
8/11/2016,8/11/2016,Ohio:,RFC,Severe Weather,Unknown,"62,140"
8/20/2016,8/20/2016,New York:,NPCC,Actual Physical Event,Unknown,"40,000"
8/23/2016,8/24/2016,Texas: Harris County;,TRE,Severe Weather,Unknown,"72,200"
8/24/2016,8/24/2016,Puerto Rico:,PR,System Operations,600,"400,000"
9/2/2016,9/4/2016,"Florida: Leon County, Wakulla County;",FRCC,Severe Weather,450,"75,000"
9/2/2016,9/3/2016,Georgia:,SERC,Severe Weather,Unknown,"57,000"
9/11/2016,9/11/2016,Connecticut: Massachusetts: New Hampshire: Rhode Island: Vermont: Maine:,NPCC,Severe Weather,Unknown,"57,960"
9/12/2016,9/12/2016,"New Mexico: Bernalillo County, Sandoval County, Santa Fe County, Valencia County;",WECC,Generation Inadequacy,110,"53,753"
9/21/2016,9/24/2016,Puerto Rico:,,System Operations,2750,"1,475,000"
9/22/2016,9/22/2016,Iowa: Black Hawk County;,MRO,System Operations,69,"19,124"
9/25/2016,9/25/2016,"Utah: Kane County, Garfield County; Arizona: Coconino County, Mohave County",WECC,Vandalism,20,"10,000"
10/2/2016,10/5/2016,Utah:,WECC,Transmission Interruption,50,"4,000"
10/6/2016,10/8/2016,Florida:,FRCC,Severe Weather,5600,"1,200,000"
10/7/2016,10/12/2016,Georgia:,SERC,Severe Weather,122,"36,384"
10/8/2016,10/9/2016,North Carolina:,SERC,Severe Weather,Unknown,"44,875"
1/8/2017,1/13/2017,California,WECC,Severe Weather,Unknown,"106,000"
1/10/2017,1/13/2017,California,WECC,Severe Weather,Unknown,"87,000"
1/15/2017,1/15/2017,California: Los Angeles County;,WECC,Transmission Disruption,176,"126,000"
1/15/2017,1/17/2017,Oklahoma: Harper County;,SPP,Severe Weather,1,788
1/18/2017,1/19/2017,California,WECC,Severe Weather,Unknown,"75,000"
1/22/2017,1/24/2017,California,WECC,Severe Weather,97,"64,000"
1/22/2017,1/23/2017,Alabama: Georgia: Mississippi: Florida:,SERC,Severe Weather,100,"29,965"
2/2/2017,2/2/2017,"New Mexico: Bernalillo County, Santa Fe County;",WECC,Transmission Interruption,396,"149,223"
2/6/2017,2/6/2017,"Washington: Skagit County, King County, Kitsap County;",WECC,Severe Weather,Unknown,"103,000"
2/9/2017,2/10/2017,Connecticut: Massachusetts: Rhode Island:,NPCC,Severe Weather,Unknown,"11,525"
2/17/2017,2/22/2017,California,WECC,Severe Weather,254,"169,250"
2/17/2017,2/20/2017,California: Los Angeles County;,WECC,Severe Weather,Unknown,"111,591"
3/1/2017,3/2/2017,Kentucky: West Virginia:,RFC,Severe Weather,Unknown,"98,575"
3/1/2017,3/1/2017,Tennessee: Kentucky:,SERC,Severe Weather,Unknown,"58,000"
3/2/2017,3/2/2017,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,Severe Weather,Unknown,"54,316"
3/6/2017,3/7/2017,Missouri,SERC,Severe Weather,Unknown,"97,734"
3/8/2017,3/11/2017,Michigan,RFC,Severe Weather,Unknown,"800,000"
3/8/2017,3/11/2017,Michigan,RFC,Severe Weather,Unknown,"343,000"
3/8/2017,3/8/2017,New York,NPCC,Severe Weather/Transmission Interruption,Unknown,"106,869"
3/8/2017,3/8/2017,Ohio,RFC,Severe Weather,Unknown,"71,012"
3/12/2017,3/12/2017,California: Imperial County;,WECC,Vandalism,0,1
3/21/2017,3/22/2017,Georgia,SERC,Severe Weather,857,"257,000"
3/29/2017,3/31/2017,Texas,TRE,Severe Weather,Unknown,"175,000"
4/3/2017,4/3/2017,"Alabama, Georgia",SERC,Severe Weather,290,"86,330"
4/7/2017,4/8/2017,"Oregon: Multnomah County, Washington County, Marion County, Clackamas County",WECC,Severe Weather,Unknown,"153,867"
4/7/2017,4/7/2017,Oregon,WECC,Severe Weather,100,"64,852"
4/13/2017,4/13/2017,Washington: Pierce County,WECC,Sabotage,53,"10,000"
4/21/2017,4/21/2017,"California: San Francisco, City and County of[10]",WECC,System Operations,130,"88,000"
4/24/2017,4/24/2017,North Carolina: Mecklenburg County,SERC,Severe Weather,240,"74,698"
4/30/2017,4/30/2017,"Arkansas, Louisiana, Mississippi",SERC,Severe Weather,Unknown,"145,174"
5/1/2017,5/1/2017,Ohio,RFC,Severe Weather,Unknown,"92,390"
5/4/2017,5/4/2017,Alabama: Georgia,SERC,Severe Weather,200,"60,377"
5/21/2017,5/21/2017,"Idaho: Lincoln County, Jerome County",WECC,Vandalism,21,"9,598"
5/23/2017,5/23/2017,Tennessee: Davidson County,SERC,Vandalism,10,"4,700"
5/28/2017,5/29/2017,Louisiana: Texas,SERC,Severe Weather,Unknown,"103,000"
5/28/2017,5/29/2017,Texas: Louisiana,TRE,Severe Weather,Unknown,"103,000"
6/11/2017,6/11/2017,Minnesota,MRO,Severe Weather,Unknown,"70,000"
6/11/2017,6/11/2017,Wisconsin,MRO,Severe Weather,Unknown,"53,610"
6/15/2017,6/15/2017,"Alabama, Georgia",SERC,Severe Weather,275,"82,713"
6/16/2017,6/17/2017,Arkansas,SERC,Severe Weather,Unknown,"76,000"
6/22/2017,6/25/2017,"Michigan: Wayne County, Monroe County",RFC,Severe Weather,Unknown,"118,631"
8/26/2017,9/8/2017,Texas:,TRE,Severe Weather,Unknown,"1,076,868"
8/27/2017,9/8/2017,Texas: Harris County;,TRE,Severe Weather,Unknown,"1,076,868"
